Kit Number,Name,Position,Date of Birth,Market Value
31,Cesare Casadei,Central Midfield,"Jan 10, 2003 (21)",€10.00m
18,Christopher Nkunku,Attacking Midfield,"Nov 14, 1997 (26)",€75.00m
20,Cole Palmer,Attacking Midfield,"May 6, 2002 (21)",€45.00m
7,Raheem Sterling,Left Winger,"Dec 8, 1994 (29)",€45.00m
10,Mykhaylo Mudryk,Left Winger,"Jan 5, 2001 (23)",€40.00m
43,Diego Moreira,Left Winger,"Aug 6, 2004 (19)",€3.00m
11,Noni Madueke,Right Winger,"Mar 10, 2002 (21)",€25.00m
15,Nicolas Jackson,Centre-Forward,"Jun 20, 2001 (22)",€35.00m
36,Deivid Washington,Centre-Forward,"Jun 5, 2005 (18)",€9.00m
1,Sam Johnstone,Goalkeeper,"Mar 25, 1993 (30)",€12.00m
30,Dean Henderson,Goalkeeper,"Mar 12, 1997 (26)",€12.00m
41,Joe Whitworth,Goalkeeper,"Feb 29, 2004 (19)",€1.00m
31,Remi Matthews,Goalkeeper,"Feb 10, 1994 (29)",€500k
6,Marc Guéhi,Centre-Back,"Jul 13, 2000 (23)",€38.00m
16,Joachim Andersen,Centre-Back,"May 31, 1996 (27)",€35.00m
26,Chris Richards,Centre-Back,"Mar 28, 2000 (23)",€8.00m
4,Rob Holding,Centre-Back,"Sep 20, 1995 (28)",€5.00m
36,Nathan Ferguson,Centre-Back,"Oct 6, 2000 (23)",€1.00m
5,James Tomkins,Centre-Back,"Mar 29, 1989 (34)",€700k
3,Tyrick Mitchell,Left-Back,"Sep 1, 1999 (24)",€22.00m
12,Daniel Muñoz,Right-Back,"May 26, 1996 (27)",€10.00m
17,Nathaniel Clyne,Right-Back,"Apr 5, 1991 (32)",€1.50m
2,Joel Ward,Right-Back,"Oct 29, 1989 (34)",€1.00m
28,Cheick Doucouré,Defensive Midfield,"Jan 8, 2000 (24)",€35.00m
8,Jefferson Lerma,Defensive Midfield,"Oct 25, 1994 (29)",€20.00m
44,Jairo Riedewald,Defensive Midfield,"Sep 9, 1996 (27)",€2.00m
20,Adam Wharton,Central Midfield,"Feb 6, 2004 (20)",€10.00m
19,Will Hughes,Central Midfield,"Apr 17, 1995 (28)",€9.00m
29,Naouirou Ahamada,Central Midfield,"Mar 29, 2002 (21)",€8.00m
15,Jeffrey Schlupp,Left Midfield,"Dec 23, 1992 (31)",€7.00m
10,Eberechi Eze,Attacking Midfield,"Jun 29, 1998 (25)",€48.00m
11,Matheus França,Attacking Midfield,"Apr 1, 2004 (19)",€15.00m
7,Michael Olise,Right Winger,"Dec 12, 2001 (22)",€50.00m
49,Jesurun Rak-Sakyi,Right Winger,"Oct 5, 2002 (21)",€2.00m
22,Odsonne Edouard,Centre-Forward,"Jan 16, 1998 (26)",€20.00m
14,Jean-Philippe Mateta,Centre-Forward,"Jun 28, 1997 (26)",€7.00m
9,Jordan Ayew,Centre-Forward,"Sep 11, 1991 (32)",€4.00m
48,Luke Plange,Centre-Forward,"Nov 4, 2002 (21)",€1.20m
1,Jordan Pickford,Goalkeeper,"Mar 7, 1994 (29)",€22.00m
12,João Virgínia,Goalkeeper,"Oct 10, 1999 (24)",€800k
31,Andy Lonergan,Goalkeeper,"Oct 19, 1983 (40)",€100k
32,Jarrad Branthwaite,Centre-Back,"Jun 27, 2002 (21)",€25.00m
6,James Tarkowski,Centre-Back,"Nov 19, 1992 (31)",€13.00m
22,Ben Godfrey,Centre-Back,"Jan 15, 1998 (26)",€8.00m
5,Michael Keane,Centre-Back,"Jan 11, 1993 (31)",€7.00m
19,Vitaliy Mykolenko,Left-Back,"May 29, 1999 (24)",€28.00m
18,Ashley Young,Left-Back,"Jul 9, 1985 (38)",€600k
2,Nathan Patterson,Right-Back,"Oct 16, 2001 (22)",€15.00m
23,Seamus Coleman,Right-Back,"Oct 11, 1988 (35)",€900k
8,Amadou Onana,Defensive Midfield,"Aug 16, 2001 (22)",€50.00m
37,James Garner,Defensive Midfield,"Mar 13, 2001 (22)",€20.00m
16,Abdoulaye Doucouré,Central Midfield,"Jan 1, 1993 (31)",€12.00m
21,André Gomes,Central Midfield,"Jul 30, 1993 (30)",€12.00m
27,Idrissa Gueye,Central Midfield,"Sep 26, 1989 (34)",€4.00m
62,Tyler Onyango,Central Midfield,"Mar 4, 2003 (20)",€500k
20,Dele Alli,Attacking Midfield,"Apr 11, 1996 (27)",€5.00m
7,Dwight McNeil,Left Winger,"Nov 22, 1999 (24)",€20.00m
10,Arnaut Danjuma,Left Winger,"Jan 31, 1997 (27)",€17.00m
61,Lewis Dobbin,Left Winger,"Jan 3, 2003 (21)",€1.00m
11,Jack Harrison,Right Winger,"Nov 20, 1996 (27)",€22.00m
9,Dominic Calvert-Lewin,Centre-Forward,"Mar 16, 1997 (26)",€22.00m
14,Beto,Centre-Forward,"Jan 31, 1998 (26)",€22.00m
28,Chermiti,Centre-Forward,"May 24, 2004 (19)",€9.00m
17,Bernd Leno,Goalkeeper,"Mar 4, 1992 (31)",€13.00m
1,Marek Rodak,Goalkeeper,"Dec 13, 1996 (27)",€3.00m
23,Steven Benda,Goalkeeper,"Oct 1, 1998 (25)",€1.00m
31,Issa Diop,Centre-Back,"Jan 9, 1997 (27)",€22.00m
3,Calvin Bassey,Centre-Back,"Dec 31, 1999 (24)",€16.00m
4,Tosin Adarabioyo,Centre-Back,"Sep 24, 1997 (26)",€12.00m
13,Tim Ream,Centre-Back,"Oct 5, 1987 (36)",€1.00m
33,Antonee Robinson,Left-Back,"Aug 8, 1997 (26)",€20.00m
12,Fodé Ballo-Touré,Left-Back,"Jan 3, 1997 (27)",€3.00m
21,Timothy Castagne,Right-Back,"Dec 5, 1995 (28)",€17.00m
2,Kenny Tete,Right-Back,"Oct 9, 1995 (28)",€15.00m
26,João Palhinha,Defensive Midfield,"Jul 9, 1995 (28)",€60.00m
6,Harrison Reed,Central Midfield,"Jan 27, 1995 (29)",€18.00m
28,Sasa Lukic,Central Midfield,"Aug 13, 1996 (27)",€10.00m
10,Tom Cairney,Central Midfield,"Jan 20, 1991 (33)",€2.00m
22,Alex Iwobi,Attacking Midfield,"May 3, 1996 (27)",€28.00m
18,Andreas Pereira,Attacking Midfield,"Jan 1, 1996 (28)",€20.00m
14,Bobby De Cordova-Reid,Attacking Midfield,"Feb 2, 1993 (31)",€6.00m
20,Willian,Left Winger,"Aug 9, 1988 (35)",€3.00m
8,Harry Wilson,Right Winger,"Mar 22, 1997 (26)",€17.00m
11,Adama Traoré,Right Winger,"Jan 25, 1996 (28)",€9.00m
9,Armando Broja,Centre-Forward,"Sep 10, 2001 (22)",€28.00m
7,Raúl Jiménez,Centre-Forward,"May 5, 1991 (32)",€6.00m
19,Rodrigo Muniz,Centre-Forward,"May 4, 2001 (22)",€5.00m
